naziv,iso_3116_alpha_3,glavni_grad,jezici,valuta,pozivni_broj,top_level_domena,naziv_himne,povrsina,strana_voznje,wikipedia_handle
Palau,PLW,Ngerulmud,eng-engleski;pau-palauski;jpn-japanski;tox-tobijski;sov-sonsorolezijski,USD,+680,.pw,Belau rekid,459,desna,Palau
Belgija,BEL,Brussels,nld-nizozemski;fra-francuski;deu-njemački,EUR,+32,.be,La Brabançonne,30689,desna,Belgium
Mauricijus,MUS,Port Louis,,MUR,+230,.mu,Stella Clavisque Maris Indici,2040,lijeva,Mauritius
Burundi,BDI,Bujumbura,fra-francuski;run-kirundi,BIF,+257,.bi,Burundi Bwacu,27834,desna,Burundi
Honduras,HND,Tegucigalpa,spa-španjolski,HNL,+504,.hn,Himno Nacional de Honduras,112492,desna,Honduras
Hrvatska,HRV,Zagreb,hrv-hrvatski,HRK,+385,.hr,Lijepa naša domovino,56594,desna,Croatia
Nepal,NPL,Kathmandu,npi-nepalski,NPR,+977,.np,Sayaun Thunga Phulka,147516,lijeva,Nepal
Novi Zeland,NZL,Wellington,eng-engleski;mri-maorski;nzs-novozelandski znakovni,NZD,+64,.nz,God Defend New Zealand,268021,lijeva,New_Zealand
Gabon,GAB,Libreville,fra-francuski,XAF,+241,.ga,La Concorde,267667,desna,Gabon
Ekvador,ECU,Quito,spa-španjolski,USD,+593,.ec,"Salve, Oh Patria",283561,desna,Ecuador
